Week of,Topic,Chapter(s),Additional Info
1/14/2018,Intro & Data Analysis,Chapter 7,"Review Chapters 4,5,6"
1/21/2018,Sampling Distributions,Chapter 7,
1/28/2018,Estimation,Chapter 8,
2/4/2018,Confidence Intervals,Chapter 9,
2/11/2018,Hypothesis Testing single sample,Chapter 9,
2/18/2018,CI and Hypothesis two samples,Chapter 10,
2/25/2018,Midterm,,
3/4/2018,Simple Linear Regression,Chapter 13,
3/11/2018,Spring Break,,
3/18/2018,Experiment Design,Chapter 11,
3/25/2018,ANOVA,Chapter 11,
4/1/2018,Multiple Regression,Chapter 14,
4/8/2018,ANOVA,Chapter 14,
4/15/2018,Categorical Data Analysis,Chapter 12,
4/22/2018,Time Series,Chapter 16,
,Final,,
